City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
158,Hithadhoo,MV,-0.6,73.0833,83.48,72,78,16.62,broken clouds,0.0,0.0
159,Asau,RO,46.4333,26.4,45.52,90,0,2.75,clear sky,0.0,0.0
160,Juarez,MX,31.7333,-106.4833,67.71,29,20,3.44,few clouds,0.0,0.0
161,Codrington,AU,-38.2667,141.9667,78.93,48,52,11.88,broken clouds,0.0,0.0
162,Naze,JP,28.3667,129.4833,72.52,58,100,16.2,overcast clouds,0.0,0.0
163,Kutum,SD,14.2,24.6667,71.78,30,93,15.75,overcast clouds,0.0,0.0
164,Butaritari,KI,3.0707,172.7902,81.97,72,15,12.71,few clouds,0.0,0.0
165,Ketchikan,US,55.3422,-131.6461,46.87,61,90,5.75,overcast clouds,0.0,0.0
166,Havelock,US,34.8791,-76.9013,62.92,92,72,3.94,broken clouds,0.0,0.0
167,Sirjan,IR,29.452,55.6814,63.1,30,78,1.43,broken clouds,0.0,0.0
168,Lavrentiya,RU,65.5833,-171.0,19.13,89,100,23.11,light snow,0.0,0.17
169,Mount Gambier,AU,-37.8333,140.7667,84.11,20,75,17.27,broken clouds,0.0,0.0
170,Tasiilaq,GL,65.6145,-37.6368,26.76,68,100,5.1,overcast clouds,0.0,0.0
171,Port-Cartier,CA,50.0334,-66.8654,42.91,69,98,17.92,overcast clouds,0.0,0.0
172,Yanam,IN,16.7333,82.2167,81.0,91,100,7.94,heavy intensity rain,15.38,0.0
173,Carnarvon,AU,-24.8667,113.6333,71.67,37,40,20.71,scattered clouds,0.0,0.0
174,Port Blair,IN,11.6667,92.75,84.61,71,100,9.6,overcast clouds,0.0,0.0
175,Shiyan,CN,32.6475,110.7781,62.4,58,35,2.26,scattered clouds,0.0,0.0
176,Upata,VE,8.0086,-62.3989,69.51,97,35,3.09,scattered clouds,0.0,0.0
177,Kavieng,PG,-2.5744,150.7967,84.4,71,100,8.68,light rain,0.23,0.0
178,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,77.18,83,73,11.21,broken clouds,0.0,0.0
179,Correntina,BR,-13.3433,-44.6367,72.86,75,100,4.54,light rain,0.14,0.0
180,Kosh-Agach,RU,50.0,88.6667,30.38,45,100,5.82,overcast clouds,0.0,0.0
181,Gondanglegi,ID,-7.7479,112.0132,90.25,56,23,14.2,few clouds,0.0,0.0
182,Ailigandi,PA,9.2333,-78.0167,76.82,87,100,3.38,overcast clouds,0.0,0.0
183,Cape Town,ZA,-33.9258,18.4232,55.27,76,20,6.91,few clouds,0.0,0.0
184,Kribi,CM,2.95,9.9167,75.15,88,99,3.09,light rain,0.1,0.0
185,Marquette,US,46.5333,-87.6335,30.78,85,41,8.16,scattered clouds,0.0,0.0
186,Ambilobe,MG,-13.2,49.05,82.76,62,1,5.82,clear sky,0.0,0.0
187,Lakatoro,VU,-16.0999,167.4164,79.5,67,48,15.88,scattered clouds,0.0,0.0
188,Tautira,PF,-17.7333,-149.15,80.62,83,65,8.39,light rain,0.78,0.0
189,Slave Lake,CA,55.2834,-114.769,30.18,51,1,11.5,clear sky,0.0,0.0
